"Product ID";"Name";"Category ";"Category Name";"Price tax excl.";"Tax rules ID";"Wholesale price";"Description";"url_image"
"21567";"PIRAMID DRAWING BOARD HALF SIZE";"366";"Drawing Board";"380.000000";"0";"380.000000";"<p>It is single piece, joint less board with special wood ebony edge.</p>";"http://venustradersonline.com/img/p/3/7/2/4/3724.jpg"
"21568";"PIRAMID DRAWING BOARD FULL SIZE";"366";"Drawing Board";"800.000000";"0";"800.000000";"<p>It is single piece, joint less board with special wood ebony edge.</p>";"http://venustradersonline.com/img/p/3/7/2/3/3723.jpg"
"21759";"WONDER CELLO TAPE 1-2 INCH";"535";"Tapes & Dispensers";"10.000000";"0";"10.000000";"<p>Self Adhesive Tape, It fits perfectly in the tape dispenser and can be use for packing, binding, sealings and much more, Best stands for heat, humidity and cold, high quality with long self life.</p>";"http://venustradersonline.com/img/p/4/7/9/9/4799.jpg"
"21761";"ABRO MASKING TAPE 1-2 INCH";"535";"Tapes & Dispensers";"25.000000";"0";"25.000000";"<p>Quick to use, Precise composition, Highly effective, Properly packed, Longer service life.</p>";"http://venustradersonline.com/img/p/4/7/5/6/4756.jpg"
"30044";"CROSS CENTURY 10K GOLD-SILVER FILLED 4502 BALL PEN";"225";"Ball Pens";"6155.000000";"0";"6155.000000";"<p>Ballpoint pen features a 10 karat gold filled/rolled gold finish on the cap and barrel. Engraved lines in the barrel ensure a comfortable grip. Use a smooth, fluid action twist to extend pen point. Refillable pen offers patented propel repel ball pen mechanism and conical top.</p>";"http://venustradersonline.com/img/p/2/0/4/5/2045.jpg"
"30044";"CROSS CENTURY 10K GOLD-SILVER FILLED 4502 BALL PEN";"225";"Ball Pens";"6155.000000";"0";"6155.000000";"<p>Ballpoint pen features a 10 karat gold filled/rolled gold finish on the cap and barrel. Engraved lines in the barrel ensure a comfortable grip. Use a smooth, fluid action twist to extend pen point. Refillable pen offers patented propel repel ball pen mechanism and conical top.</p>";"http://venustradersonline.com/img/p/2/0/4/6/2046.jpg"
"30277";"DERWENT DARK CHARCOAL PENCIL";"323";"Charcoal Pencils";"32.000000";"0";"32.000000";"<p>It’s the smoothly textured pencil with all the beauty and character of traditional charcoal in a convenient, easy to use form. Available in light, medium and dark .</p>";"http://venustradersonline.com/img/p/3/4/2/4/3424.jpg"
"30395";"WINSOR AND NEWTON COTMAN WATER COLOURS 24 COLOURS STUDIO SET NO.0390084";"107";"Water Colours";"7425.000000";"0";"7425.000000";"<p><span>The box itself is made from lightweight plastic and has a detachable lid and palette for easy cleaning and handling. Includes: Lemon Yellow, Cadmium Yellow Light, Cadmium Yellow Pale, Cadmium Orange, Cadmium Red Light, Cadmium Red, Cadmium Deep Red, Alizarin Crimson, Purple Lake, Ultramarine, Cobalt Blue, Cerulean Blue, Intense Blue, Emerald Green, Sap Green, Raw Sienna, Yellow Ochre, Raw Umber, Burnt Sienna, Red Light, Burnt Umber, Payne's Grey, Ivory Black, Chinese White.</span></p>";"http://venustradersonline.com/img/p/3/8/9/389.jpg"
"30698";"PEBEO VITRAIL MEDIUM ECLAIRCISSANT MEDIUM LIGHTENING 45 ML";"202";"Glass Colours";"330.000000";"0";"330.000000";"<p><span>Pebeos Vitrail Lightening Medium is used to create lighter tones without reducing the quality of the paint nor making it more fluid. It is a lightning  mediums formulated to alter the characteristics of glass paint, specifically Pebeo Vitrail paints.</span></p>";"http://venustradersonline.com/img/p/1/8/7/8/1878.jpg"
"30710";"PEBEO COLORLESS  GUTTA WATER BASED";"198";"Fabric Liner";"300.000000";"0";"300.000000";"<p>Gutta is a paste that penetrates the fabric and creates a colour barrier.Water Based colorless Gutta has a thick consistency and is used to create outlines .The Colorless Gutta is used directly from the tube and nozzle or from a pipette and Gutta nib.</p>";"http://venustradersonline.com/img/p/8/2/3/823.jpg"
"30711";"PEBEO GUTTA WATER BASED OR GOLD 20ML";"198";"Fabric Liner";"300.000000";"0";"300.000000";"<p>It has a thick metallic consistency and comes in a tube with a great nib for applying outlines and barriers between colours in silk painting. All coloured water based guttas can be washed after having been heat set with an iron with the exception of colourless gutta which is designed to wash out allowing all line work to remain the original colour of the cloth.</p>";"http://venustradersonline.com/img/p/8/2/4/824.jpg"
"30712";"PEBEO SILVER GUTTA WATER BASED 20ML";"198";"Fabric Liner";"275.000000";"0";"275.000000";"<p>It has a thick metallic consistency and comes in a tube with a great nib for applying outlines and barriers between colours in silk painting. All coloured water based guttas can be washed after having been heat set with an iron with the exception of colourless gutta which is designed to wash out allowing all line work to remain the original colour of the cloth.</p>";"http://venustradersonline.com/img/p/8/2/5/825.jpg"
